      Shortage Reports,
      Report ID,DIN,Report Type,Brand Name,Company Name,Common or Proper Name,Ingredient Name,Drug Strength,Packaging Size,Drug Route,Shortage Status,Dosage Form,ATC Code,ATC Description,Anticipated Shortage Start Date,Shortage Start Date,Estimated Shortage End Date,Actual Shortage End Date,Reason,Date Created,
      34506,01924303,Shortage,0.9% SODIUM CHLORIDE INJECTION USP,B. BRAUN MEDICAL INC,Sodium Chloride,SODIUM CHLORIDE,0.9%,100mL 150mL,INTRAVENOUS,active_confirmed,SOLUTION,B05XA03,I.V. SOLUTION ADDITIVES,2017-12-22,2017-12-22,,,Disruption of the manufacture of the drug.,2018-01-02,
      28240,01963937,Shortage,0.9% SODIUM CHLORIDE IRRIGATION USP,B. BRAUN MEDICAL INC,Sodium Chloride,SODIUM CHLORIDE,0.9%,500mL 1000mL 2000mL 4000mL,IRRIGATION,active_confirmed,SOLUTION,B05CB01,IRRIGATING SOLUTIONS,,2017-11-03,,,Requirements related to complying with good manufacturing practices.,2017-11-06,
      24792,02141450,Shortage,20% PROSOL,BAXTER CORPORATION,20% PROSOL,PHENYLALANINE HISTIDINE TRYPTOPHAN LEUCINE ARGININE THREONINE ALANINE DL-METHIONINE GLYCINE GLUTAMIC ACID PROLINE L-ASPARTIC ACID TYROSINE LYSINE SERINE VALINE ISOLEUCINE,1G 1.18G 0.32G 1.08G 1.96G 0.98G 2.76G 0.76G 2.06G 1.02G 1.34G 0.6G 0.05G 1.35G 1.02G 1.44G 1.08G,2000 mL,INTRAVENOUS,resolved,LIQUID,B05BA01,I.V. SOLUTIONS,2017-11-15,2017-11-15,2017-12-15,2017-11-21,Disruption of the manufacture of the drug.,2017-10-10,
      27274,02248489,Shortage,4% ASTRACAINE DENTAL WITH EPINEPHRINE 1:200000 (0.005MG/ML),DENTSPLY CANADA LIMITED,Articaine Hydrochloride 40 mg/mL and Epinephrine Injection 1:200000,ARTICAINE HYDROCHLORIDE EPINEPHRINE,40MG 0.005MG,100 1.8 mL cartridges/box,BLOCK/INFILTRATION,active_confirmed,SOLUTION,N01BB58,ANESTHETICS LOCAL,2017-10-27,2017-10-27,2018-01-19,,Disruption of the manufacture of the drug.,2017-10-27,
      26870,02299135,Shortage,40 (MEQ)MMOL/L POTASSIUM CHLORIDE PLUS 5% DEXTROSE &amp;amp; 0.9% CHLORURE DE SODIUM/SODIUM CHLORIDE INJECTION USP,HOSPIRA HEALTHCARE CORPORATION,Potassium Chloride in 5% Dextrose and 0.9% Sodium Chloride Injection USP 079109254,DEXTROSE POTASSIUM CHLORIDE SODIUM CHLORIDE,5.0G 0.3G 0.9G,1000ML,INTRAVENOUS,active_confirmed,SOLUTION,B05BB02,I.V. SOLUTIONS,2017-10-17,,2017-11-30,,Other (Please describe in comments),2017-10-24,
      34510,01924281,Shortage,5% DEXTROSE INJECTION USP,B. BRAUN MEDICAL INC,Dextrose,DEXTROSE,50MG,150mL,INTRAVENOUS,active_confirmed,SOLUTION,B05BA03,I.V. SOLUTIONS,2017-12-22,2017-12-22,,,Disruption of the manufacture of the drug.,2018-01-02,
      30198,00037974,Shortage,50% DEXTROSE INJECTION USP,HOSPIRA HEALTHCARE CORPORATION,50% DEXTROSE,DEXTROSE,500MG,25x50mL GVL,INTRAVENOUS,anticipated_shortage,SOLUTION,B05BA03,I.V. SOLUTIONS,2018-01-19,,2018-02-23,,Disruption of the manufacture of the drug.,2017-11-22,
      31261,02364190,Shortage,ABSTRAL,PALADIN LABS INC,Abstral,FENTANYL,300MCG,10 tablets,SUBLINGUAL,active_confirmed,TABLET,N02AB03,OPIOIDS,2015-11-27,2015-11-27,,,Disruption of the manufacture of the drug.,2017-11-30,
      10409,02364174,Shortage,ABSTRAL,PALADIN LABS INC,FENTANYL,FENTANYL,100MCG,10 Tabs,SUBLINGUAL,active_confirmed,TABLET,N02AB,OPIOIDS,,2015-11-27,,,Disruption of the manufacture of the drug.,2017-05-16,
      10412,02364182,Shortage,ABSTRAL,PALADIN LABS INC,FENTANYL,FENTANYL,200MCG,10 Tabs,SUBLINGUAL,active_confirmed,TABLET,N02AB,OPIOIDS,,2015-11-27,,,Disruption of the manufacture of the drug.,2017-05-16,
